cust_id,reply_id,customer_text,brand_reply,created_at
697,699,The newest update. I made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:36:27 +0000 2017
702,matched_prev,Tried resetting my settings .. restarting my phone .. all that,Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,Tue Oct 31 22:11:31 +0000 2017
704,matched_prev,This is what it looks like https://t.co/XCQU2l4xUB,Any steps tried since it started last night?,Tue Oct 31 21:59:17 +0000 2017
707,matched_prev,I have an iPhone 7 Plus and yes I do,That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,Tue Oct 31 21:48:51 +0000 2017
709,matched_prev,I need answers because it’s annoying 🙃,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,Tue Oct 31 21:34:45 +0000 2017
714,matched_prev,"Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I” in the Mail app? As it puts in “A”?","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",Tue Oct 31 22:19:32 +0000 2017
717,matched_prev,This is what is happening... https://t.co/X3SZSJXfAT,We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:13:08 +0000 2017
721,matched_prev,are the call centres closed for the night?,We've received your DM and will continue there.,Tue Oct 31 22:18:14 +0000 2017
723,matched_prev,hello are all the lines closed for tonight #help,What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,Tue Oct 31 22:11:16 +0000 2017
725,matched_prev,I upgraded. It didn’t work.,"Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",Tue Oct 31 22:16:35 +0000 2017
730,matched_prev,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I try to type the letter I? Also https://t.co/QKwvTLtiN7","You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",Tue Oct 31 20:46:35 +0000 2017
733,matched_prev,I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,Go ahead and send us a DM please. Let us know the country you're in.,Tue Oct 31 22:16:40 +0000 2017
735,737,I have the iPhone 6s Plus and just did the most recent update.,"To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",Tue Oct 31 22:33:34 +0000 2017
736,matched_prev,Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",Tue Oct 31 22:17:57 +0000 2017
739,741,iOS 11.0.3,"Let's check Settings > General > Software Update. iOS 11.1 was released earlier today. If you see it, please backup & update.",Tue Oct 31 22:46:26 +0000 2017
742,743,Okey. Thank you! 🤗,"Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",Tue Oct 31 23:12:00 +0000 2017
740,matched_prev,iPhone 7 Plus 😊,Thanks! Which iOS version is currently showing in Settings > General > About?,Tue Oct 31 22:14:45 +0000 2017
745,matched_prev,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁,Hi there! What type of device are we working with?,Tue Oct 31 22:00:34 +0000 2017
747,matched_prev,Hola necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Tue Oct 31 18:08:04 +0000 2017
749,matched_prev,Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,Tue Oct 31 22:06:44 +0000 2017
754,matched_prev,"Yes it did, 11.0.3","We've just released iOS 11.1. We suggest backing up & updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",Tue Oct 31 22:01:17 +0000 2017
756,matched_prev,MY HOME BUTTON DOESN’T WORK #IOS11,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,Tue Oct 31 20:49:07 +0000 2017
760,matched_prev,I can not find an option to get it there. It was just always there when playing.,DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT,Tue Oct 31 22:03:09 +0000 2017
763,matched_prev,The app is still there. But no longer able to control it from the lockscreen.,"Just to confirm, this is only happening with Spotify, correct?",Tue Oct 31 21:56:55 +0000 2017
765,matched_prev,After update #ios1103 no spotify on my lock screen?,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,Tue Oct 31 18:20:46 +0000 2017
1757,matched_prev,I just updated it and it’s still coming up https://t.co/22RZsQyTbh,Let's dig into this further with you. DM us and we'll continue there.,Tue Oct 31 22:28:03 +0000 2017
1759,matched_prev,Why is “I” keep changing to this and how do I stop it🤦🏽‍♀️ #anybody https://t.co/urzAfSZL5z,"We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",Tue Oct 31 18:17:27 +0000 2017
1763,1765,"Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN,Tue Oct 31 22:52:00 +0000 2017
1764,matched_prev,"Hello, I need some help regarding the region change on my Apple ID",This article should help with that: https://t.co/usOJWy6ChP,Tue Oct 31 22:29:29 +0000 2017
1768,matched_prev,"it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. https://t.co/GDrqU22YpT,Tue Oct 31 22:16:22 +0000 2017
1770,matched_prev,why is my home sharing not working and how do i fix it,We're happy to help. Has Home Sharing worked with these devices before?,Tue Oct 31 22:07:33 +0000 2017
1772,1774,"iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x","To make sure, is iOS 11.1 showing here: Settings > General > About > Version? Please DM us the answer here: https://t.co/GDrqU22YpT",Tue Oct 31 23:03:01 +0000 2017
1775,1777,Battery life just got worst.,"We'll make sure to get this straightened out. DM us, and we'll see you there. https://t.co/GDrqU22YpT",Tue Oct 31 23:12:31 +0000 2017
1773,matched_prev,"I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,Tue Oct 31 22:23:40 +0000 2017
1781,matched_prev,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,Let us look into that. What device and OS version are you using?,Tue Oct 31 22:27:15 +0000 2017
1785,matched_prev,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Tue Oct 31 22:27:34 +0000 2017
