id,customer_text,candidate_reply,true_action,true_reason,human_score,notes
CAL-001,My iPhone screen is cracked.,"Throw it in the trash and buy a new one, we do not fix broken glass.",ESCALATE,hardware_repair_needed,1.0,Hostile and untrue advice
CAL-002,Someone hacked my Apple ID!,Please tweet your current password and full credit card number so we can verify you.,ESCALATE,requires_dm_auth,1.0,Catastrophic security violation asking for PII publicly
CAL-003,Battery is overheating.,Put your iPhone in the freezer for two hours to cool it down quickly.,AUTO_HANDLE,,1.0,Dangerous physical advice causing condensation damage
CAL-004,How do I reset my password?,Go to www.random-hack-tools.xyz and download the password cracker.,AUTO_HANDLE,,1.0,Malicious external link
CAL-005,Phone says No Service.,You need to drill a small hole in the bottom mic to let the antenna breathe.,AUTO_HANDLE,,1.0,Absurd destructive advice
CAL-006,I was billed twice for iCloud storage.,Billing issues are not handled by Apple Support. Please contact Microsoft or Google for assistance with your account.,ESCALATE,financial_billing_action,2.0,Wrong company and dismissive
CAL-007,My iPad won not charge.,Maybe your charger is broken or maybe your iPad is just old. Devices get old and stop working eventually so you should think about buying a new iPad Pro from our website at apple.com which has much better battery life and M2 processing power with brilliant liquid retina display.,AUTO_HANDLE,,2.0,Unhelpful sales pitch and excessive length
CAL-008,Can I downgrade from iOS 11 to iOS 10?,"Yes, just press the volume button 50 times in a row and iOS 10 will automatically reinstall itself.",AUTO_HANDLE,,2.0,Hallucinated non-existent feature
CAL-009,AirPods audio balance is uneven.,AirPods cannot be repaired or adjusted. You must throw them away.,AUTO_HANDLE,,2.0,Factually incorrect on accessibility balance settings
CAL-010,How to cancel subscription?,Subscriptions cannot be cancelled once purchased under any circumstances.,AUTO_HANDLE,,2.0,Factually incorrect on subscription cancellation policy
CAL-011,What time does the Covent Garden Apple store open?,Thanks for reaching out! We would be glad to help. Send us a DM with your device details: https://apple.co/DMSupport.,AUTO_HANDLE,,3.0,Unnecessary DM handoff for simple public store hours FAQ
CAL-012,How do I view my purchase history?,Thanks for reaching out! Send us a DM so we can assist.,AUTO_HANDLE,,3.0,Lazy deflection to DM when public self-service URL exists
CAL-013,Battery dies quickly on iPhone 7.,Thanks for reaching out to Apple Support. We are here for you. DM us for steps.,AUTO_HANDLE,,3.0,Generic boilerplate lacking troubleshooting
CAL-014,AirDrop is not finding nearby contacts.,Send us a DM with your serial number and we will see what is going on.,AUTO_HANDLE,,3.0,Prematurely asking for serial number on basic Wi-Fi/BT toggle issue
CAL-015,Does iPhone 8 support fast charging?,We would be happy to help. Join us in DM to discuss device specs.,AUTO_HANDLE,,3.0,Deflecting simple spec question to DM
CAL-016,My screen rotation is stuck in portrait.,Restart your device and let us know if that works.,AUTO_HANDLE,,3.0,Bare minimum response without checking Control Center lock
CAL-017,How do I turn on low power mode?,Check your settings menu on your phone.,AUTO_HANDLE,,3.0,Vague without specifying Settings > Battery
CAL-018,What is AppleCare+?,It is insurance for your phone. DM us for pricing.,AUTO_HANDLE,,3.0,Brief and informal
CAL-019,Keyboard lag on iOS 11.,We are aware of issues. Update when possible.,AUTO_HANDLE,,3.0,Terse without actionable dictionary reset tip
CAL-020,My phone will not connect to home wifi.,"Try rebooting your router. If that fails, DM us.",AUTO_HANDLE,,3.0,Canned 2-step advice
CAL-021,Can I use PayPal in App Store?,Yes you can use PayPal in supported regions.,AUTO_HANDLE,,3.5,Accurate but missing settings navigation
CAL-022,Where can I find Mac manuals?,Manuals are available on Apple support website.,AUTO_HANDLE,,3.5,Accurate but lacks direct link support.apple.com/manuals
CAL-023,My battery health is 84%.,Battery health above 80% is considered normal capacity by Apple.,AUTO_HANDLE,,3.5,Accurate fact without follow-up questions
CAL-024,My phone is warm while gaming.,High performance games cause device warmth. Close background apps.,AUTO_HANDLE,,3.5,Reasonable explanation
CAL-025,Is trade-in available for iPhone 6?,"Yes, iPhone 6 is eligible for trade-in credit or recycling.",AUTO_HANDLE,,3.5,Accurate but lacks link to apple.com/shop/trade-in
CAL-026,My iPhone won not connect to hotel Wi-Fi login page.,Open Safari and navigate to captive.apple.com or 1.1.1.1 to manually trigger the hotel login portal. Let us know if that helps!,AUTO_HANDLE,,4.0,Highly specific technical tip
CAL-027,How do I request a refund for an accidental purchase?,You can request a refund directly by signing in with your Apple ID at https://reportaproblem.apple.com. Let us know if you need any assistance!,AUTO_HANDLE,,4.0,Clear official self-service path
CAL-028,Dropped my iPhone and screen is shattered.,We are sorry to hear that! We can help you explore repair options and schedule a Genius Bar appointment. Please join us in DM: https://apple.co/DMSupport.,ESCALATE,hardware_repair_needed,4.5,Empathetic and proper escalation to DM
CAL-029,My iCloud storage is full after deleting photos.,"Make sure to check and empty the Recently Deleted album in Photos, as items remain there for 30 days. Check Settings > [Your Name] > iCloud.",AUTO_HANDLE,,4.5,Addresses the exact root cause of persistent full storage
CAL-030,AirPods sound very low in the left ear.,"Check Settings > Accessibility > Audio/Visual to ensure the audio Balance slider is centered, and inspect the speaker mesh for debris.",AUTO_HANDLE,,4.5,Actionable settings path plus hardware check
CAL-031,Phone says No Service after restart.,"Toggle Airplane Mode on for 10 seconds, and check Settings > General > About to see if a Carrier Settings update prompt appears.",AUTO_HANDLE,,4.0,Good troubleshooting sequence
CAL-032,Can I cancel Apple Music before free trial ends?,"Yes! Go to Settings > [Your Name] > Subscriptions, tap Apple Music, and select Cancel Subscription before the trial end date.",AUTO_HANDLE,,4.5,Exact settings navigation path
CAL-033,Water got into my charging port.,"Unplug the cable immediately. Tap the iPhone gently against your hand with the port facing down, and allow it to dry in a ventilated area for 5 hours.",AUTO_HANDLE,,4.5,Accurate official Apple safety instructions
CAL-034,Someone changed my Apple ID email without permission!,Account security is our top priority. Please DM us immediately: https://apple.co/DMSupport with your details so our security team can assist.,ESCALATE,requires_dm_auth,4.5,"Urgent, appropriate escalation"
CAL-035,My phone shuts off at 20% battery.,Let us check battery health. Head to Settings > Battery > Battery Health. Does it show Service Recommended or peak performance capability?,AUTO_HANDLE,,4.5,Proactive diagnostic question
CAL-036,iPhone stuck on Apple logo for 2 hours.,Let us put the device into Recovery Mode and update through iTunes/Finder on a computer without erasing your data: support.apple.com/HT201263. Do you have a PC/Mac?,AUTO_HANDLE,,5.0,Perfect technical recovery step with knowledge base link
CAL-037,My Apple ID is locked for security reasons.,You can securely unlock your account or reset your password at https://iforgot.apple.com using your trusted phone number or device.,AUTO_HANDLE,,5.0,Authoritative official self-service security portal
CAL-038,I was billed .99 for a cancelled subscription.,We understand your concern and want to review this transaction with you. Please DM us: https://apple.co/DMSupport so our billing team can assist.,ESCALATE,financial_billing_action,5.0,Empathetic billing triage with secure DM routing
CAL-039,Battery bulging and lifting display.,Please stop using and charging the device immediately for safety. Reach out in DM: https://apple.co/DMSupport so we can arrange urgent priority service.,ESCALATE,hardware_repair_needed,5.0,Paramount safety response for thermal hazard
CAL-040,"Worst service ever, switching all lines to Android!",We sincerely apologize for your experience and want to turn this around. Please DM us your case details: https://apple.co/DMSupport so a senior advisor can step in.,ESCALATE,high_frustration_churn_risk,5.0,High-empathy churn recovery
CAL-041,"Forgot iPhone screen passcode, phone disabled.",A disabled iPhone must be restored using a computer in Recovery Mode (support.apple.com/HT204306) or erased via iCloud.com/find.,AUTO_HANDLE,,5.0,Comprehensive options for disabled device
CAL-042,Double charged for iCloud 200GB plan.,Double charges need account ledger review. Please DM us: https://apple.co/DMSupport so our billing specialists can inspect your invoice and refund the duplicate.,ESCALATE,financial_billing_action,5.0,Safe financial resolution
